Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
1,51,53,Asset,-65468,1.374631,1.3702,{'SL': 1.3783},{'TP': 1.3702},290.106057,0.003224,2024-06-12 13:00:00,2024-06-12 15:00:00,,TP Hit,0 days 02:00:00
2,54,101,Asset,-65927,1.369032,1.3768,{'SL': 1.3768},{'TP': 1.3594000000000002},-512.150933,-0.005674,2024-06-12 16:00:00,2024-06-14 15:00:00,,SL Hit,1 days 23:00:00
3,102,200,Asset,-65235,1.376481,1.3688,{'SL': 1.3828},{'TP': 1.3688},501.081288,0.00558,2024-06-14 16:00:00,2024-06-20 18:00:00,,TP Hit,6 days 02:00:00
4,201,251,Asset,-65852,1.370431,1.36616,{'SL': 1.3768},{'TP': 1.3626},281.285172,0.003117,2024-06-20 19:00:00,2024-06-24 21:00:00,,,4 days 02:00:00
5,252,330,Asset,66294,1.365268,1.3734,{'SL': 1.3586},{'TP': 1.3734000000000002},539.085572,0.005956,2024-06-24 22:00:00,2024-06-28 04:00:00,,TP Hit,3 days 06:00:00
6,331,345,Asset,66285,1.372769,1.3675,{'SL': 1.3675000000000002},{'TP': 1.3792},-349.231471,-0.003838,2024-06-28 05:00:00,2024-06-28 19:00:00,,SL Hit,0 days 14:00:00
7,346,368,Asset,66306,1.367588,1.3732,{'SL': 1.3571},{'TP': 1.3805},372.084341,0.004103,2024-06-28 20:00:00,2024-07-01 18:00:00,,,2 days 22:00:00
8,369,396,Asset,-66217,1.374341,1.36835,{'SL': 1.3842},{'TP': 1.3621},396.724555,0.004359,2024-07-01 19:00:00,2024-07-03 09:00:00,,,1 days 14:00:00
9,397,403,Asset,66801,1.367798,1.3644,{'SL': 1.3644},{'TP': 1.3719000000000001},-227.015617,-0.002485,2024-07-03 10:00:00,2024-07-03 16:00:00,,SL Hit,0 days 06:00:00
10,404,451,Asset,66796,1.364348,1.36217,{'SL': 1.3595000000000002},{'TP': 1.3714000000000002},-145.495982,-0.001597,2024-07-03 17:00:00,2024-07-05 16:00:00,,,1 days 23:00:00
11,452,497,Asset,-66727,1.364182,1.36382,{'SL': 1.3706},{'TP': 1.3562},24.140995,0.000265,2024-07-05 17:00:00,2024-07-09 14:00:00,,,3 days 21:00:00
12,498,546,Asset,66749,1.364188,1.3607,{'SL': 1.3607},{'TP': 1.3683},-232.834262,-0.002557,2024-07-09 15:00:00,2024-07-11 15:00:00,,SL Hit,2 days 00:00:00
13,547,551,Asset,66767,1.360618,1.36313,{'SL': 1.3543},{'TP': 1.3685},167.716868,0.001846,2024-07-11 16:00:00,2024-07-11 20:00:00,,,0 days 04:00:00
14,552,687,Asset,-66697,1.364232,1.37165,{'SL': 1.3755000000000002},{'TP': 1.3503},-494.772686,-0.005438,2024-07-11 21:00:00,2024-07-19 12:00:00,,,7 days 15:00:00
15,688,715,Asset,66002,1.371989,1.3756,{'SL': 1.3689},{'TP': 1.3756000000000002},238.359887,0.002632,2024-07-19 13:00:00,2024-07-22 16:00:00,,TP Hit,3 days 03:00:00
16,716,780,Asset,65927,1.376829,1.3825,{'SL': 1.3721},{'TP': 1.3825},373.882697,0.004119,2024-07-22 17:00:00,2024-07-25 09:00:00,,TP Hit,2 days 16:00:00
17,781,851,Asset,65885,1.382789,1.38436,{'SL': 1.3791},{'TP': 1.3872},103.496375,0.001136,2024-07-25 10:00:00,2024-07-30 08:00:00,,,4 days 22:00:00
18,852,884,Asset,-65874,1.384291,1.3797,{'SL': 1.3880000000000001},{'TP': 1.3797000000000001},302.413173,0.003316,2024-07-30 09:00:00,2024-07-31 17:00:00,,TP Hit,1 days 08:00:00
19,885,889,Asset,-66213,1.381301,1.3795,{'SL': 1.3894},{'TP': 1.3713},119.245077,0.001304,2024-07-31 18:00:00,2024-07-31 22:00:00,,,0 days 04:00:00
20,890,917,Asset,66321,1.380829,1.38827,{'SL': 1.3714000000000002},{'TP': 1.3925},493.492041,0.005389,2024-07-31 23:00:00,2024-08-02 02:00:00,,,1 days 03:00:00
21,918,982,Asset,-66291,1.388021,1.378,{'SL': 1.3961000000000001},{'TP': 1.3780000000000001},664.275296,0.007219,2024-08-02 03:00:00,2024-08-06 19:00:00,,TP Hit,4 days 16:00:00
22,983,1051,Asset,-67216,1.377791,1.37365,{'SL': 1.3882},{'TP': 1.365},278.348648,0.003006,2024-08-06 20:00:00,2024-08-09 16:00:00,,,2 days 20:00:00
23,1052,1151,Asset,67598,1.373849,1.37104,{'SL': 1.3678000000000001},{'TP': 1.3812},-189.861759,-0.002044,2024-08-09 17:00:00,2024-08-15 20:00:00,,,6 days 03:00:00
24,1152,1184,Asset,-67542,1.372321,1.36642,{'SL': 1.3813},{'TP': 1.3612},398.591042,0.0043,2024-08-15 21:00:00,2024-08-19 05:00:00,,,3 days 08:00:00
25,1185,1212,Asset,68088,1.366708,1.3627,{'SL': 1.3627},{'TP': 1.3715000000000002},-272.919309,-0.002933,2024-08-19 06:00:00,2024-08-20 09:00:00,,SL Hit,1 days 03:00:00
26,1213,1245,Asset,68107,1.362738,1.3587,{'SL': 1.3587},{'TP': 1.3676000000000001},-275.025158,-0.002963,2024-08-20 10:00:00,2024-08-21 18:00:00,,SL Hit,1 days 08:00:00
27,1246,1251,Asset,68144,1.358368,1.35935,{'SL': 1.3522},{'TP': 1.3659000000000001},66.9232,0.000723,2024-08-21 19:00:00,2024-08-22 00:00:00,,,0 days 05:00:00
28,1252,1292,Asset,-68138,1.359212,1.3512,{'SL': 1.3658000000000001},{'TP': 1.3512},545.924109,0.005895,2024-08-22 01:00:00,2024-08-23 17:00:00,,TP Hit,1 days 16:00:00
29,1293,1580,Asset,-68862,1.352062,1.3604,{'SL': 1.3604},{'TP': 1.3418},-574.144259,-0.006167,2024-08-23 18:00:00,2024-09-10 17:00:00,,SL Hit,17 days 23:00:00
