Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
1,51,53,Asset,-65468,1.374631,1.3702,{'SL': 1.3783},{'TP': 1.3702},290.106057,0.003224,2024-06-12 13:00:00,2024-06-12 15:00:00,,TP Hit,0 days 02:00:00
2,54,101,Asset,-65927,1.369032,1.3768,{'SL': 1.3768},{'TP': 1.3594000000000002},-512.150933,-0.005674,2024-06-12 16:00:00,2024-06-14 15:00:00,,SL Hit,1 days 23:00:00
3,102,200,Asset,-65235,1.376481,1.3688,{'SL': 1.3828},{'TP': 1.3688},501.081288,0.00558,2024-06-14 16:00:00,2024-06-20 18:00:00,,TP Hit,6 days 02:00:00
4,201,251,Asset,-65852,1.370431,1.36616,{'SL': 1.3768},{'TP': 1.3626},281.285172,0.003117,2024-06-20 19:00:00,2024-06-24 21:00:00,,,4 days 02:00:00
5,252,330,Asset,66294,1.365268,1.3734,{'SL': 1.3586},{'TP': 1.3734000000000002},539.085572,0.005956,2024-06-24 22:00:00,2024-06-28 04:00:00,,TP Hit,3 days 06:00:00
6,331,345,Asset,66285,1.372769,1.3675,{'SL': 1.3675000000000002},{'TP': 1.3792},-349.231471,-0.003838,2024-06-28 05:00:00,2024-06-28 19:00:00,,SL Hit,0 days 14:00:00
7,346,351,Asset,66306,1.367588,1.36691,{'SL': 1.3571},{'TP': 1.3805},-44.980399,-0.000496,2024-06-28 20:00:00,2024-07-01 01:00:00,,,2 days 05:00:00
8,352,361,Asset,-66284,1.367262,1.36773,{'SL': 1.3748},{'TP': 1.358},-31.045205,-0.000343,2024-07-01 02:00:00,2024-07-01 11:00:00,,,0 days 09:00:00
9,362,367,Asset,66269,1.367318,1.3721,{'SL': 1.3633},{'TP': 1.3721},316.874335,0.003497,2024-07-01 12:00:00,2024-07-01 17:00:00,,TP Hit,0 days 05:00:00
10,368,374,Asset,66189,1.373269,1.37352,{'SL': 1.3638000000000001},{'TP': 1.385},16.635943,0.000183,2024-07-01 18:00:00,2024-07-02 00:00:00,,,0 days 06:00:00
11,375,402,Asset,-66194,1.373271,1.3666,{'SL': 1.3787},{'TP': 1.3666},441.602217,0.004858,2024-07-02 01:00:00,2024-07-03 15:00:00,,TP Hit,1 days 14:00:00
12,403,405,Asset,-66851,1.365712,1.36316,{'SL': 1.3708},{'TP': 1.3594000000000002},170.584432,0.001868,2024-07-03 16:00:00,2024-07-03 18:00:00,,,0 days 02:00:00
13,406,451,Asset,67124,1.362588,1.36217,{'SL': 1.3556000000000001},{'TP': 1.3712},-28.06629,-0.000307,2024-07-03 19:00:00,2024-07-05 16:00:00,,,1 days 21:00:00
14,452,488,Asset,-67021,1.364182,1.364,{'SL': 1.3706},{'TP': 1.3562},12.18358,0.000133,2024-07-05 17:00:00,2024-07-09 05:00:00,,,3 days 12:00:00
15,489,546,Asset,67035,1.364158,1.3603,{'SL': 1.3603},{'TP': 1.3688},-258.634739,-0.002828,2024-07-09 06:00:00,2024-07-11 15:00:00,,SL Hit,2 days 09:00:00
16,547,551,Asset,67037,1.360618,1.36313,{'SL': 1.3543},{'TP': 1.3685},168.3951,0.001846,2024-07-11 16:00:00,2024-07-11 20:00:00,,,0 days 04:00:00
17,552,688,Asset,-66966,1.364232,1.37192,{'SL': 1.3755000000000002},{'TP': 1.3503},-514.849006,-0.005636,2024-07-11 21:00:00,2024-07-19 13:00:00,,,7 days 16:00:00
18,689,715,Asset,66269,1.371729,1.376,{'SL': 1.3682},{'TP': 1.3760000000000001},283.062533,0.003114,2024-07-19 14:00:00,2024-07-22 16:00:00,,TP Hit,3 days 02:00:00
19,716,780,Asset,66210,1.376829,1.3825,{'SL': 1.3721},{'TP': 1.3825},375.487636,0.004119,2024-07-22 17:00:00,2024-07-25 09:00:00,,TP Hit,2 days 16:00:00
20,781,829,Asset,66167,1.382789,1.38249,{'SL': 1.3791},{'TP': 1.3872},-19.792932,-0.000216,2024-07-25 10:00:00,2024-07-29 10:00:00,,,4 days 00:00:00
21,830,881,Asset,-66105,1.383681,1.38373,{'SL': 1.3872},{'TP': 1.3795000000000002},-3.25154,-3.6e-05,2024-07-29 11:00:00,2024-07-31 14:00:00,,,2 days 03:00:00
22,882,927,Asset,66135,1.383159,1.38752,{'SL': 1.3781},{'TP': 1.3894},288.404517,0.003153,2024-07-31 15:00:00,2024-08-02 12:00:00,,,1 days 21:00:00
23,928,948,Asset,-66106,1.387531,1.3921,{'SL': 1.3921000000000001},{'TP': 1.3820000000000001},-302.063434,-0.003293,2024-08-02 13:00:00,2024-08-05 09:00:00,,SL Hit,2 days 20:00:00
24,949,951,Asset,-65795,1.39,1.38796,{'SL': 1.4038000000000002},{'TP': 1.3729},134.254467,0.001468,2024-08-05 10:00:00,2024-08-05 12:00:00,,,0 days 02:00:00
25,952,960,Asset,66021,1.387169,1.38324,{'SL': 1.372},{'TP': 1.4060000000000001},-259.419946,-0.002833,2024-08-05 13:00:00,2024-08-05 21:00:00,,,0 days 08:00:00
26,961,1018,Asset,-66039,1.383111,1.37271,{'SL': 1.3968},{'TP': 1.3662},686.861139,0.00752,2024-08-05 22:00:00,2024-08-08 07:00:00,,,2 days 09:00:00
27,1019,1124,Asset,66965,1.373379,1.369,{'SL': 1.369},{'TP': 1.3787},-293.217335,-0.003188,2024-08-08 08:00:00,2024-08-14 17:00:00,,SL Hit,6 days 09:00:00
28,1125,1200,Asset,66965,1.369438,1.363,{'SL': 1.363},{'TP': 1.3774},-431.152043,-0.004702,2024-08-14 18:00:00,2024-08-19 21:00:00,,SL Hit,5 days 03:00:00
29,1201,1251,Asset,66974,1.363458,1.35935,{'SL': 1.3554000000000002},{'TP': 1.3733},-275.140544,-0.003013,2024-08-19 22:00:00,2024-08-22 00:00:00,,,2 days 02:00:00
