Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
1,51,53,Asset,-65468,1.374631,1.3702,{'SL': 1.3783},{'TP': 1.3702},290.106057,0.003224,2024-06-12 13:00:00,2024-06-12 15:00:00,,TP Hit,0 days 02:00:00
2,54,101,Asset,-65927,1.369032,1.3768,{'SL': 1.3768},{'TP': 1.3594000000000002},-512.150933,-0.005674,2024-06-12 16:00:00,2024-06-14 15:00:00,,SL Hit,1 days 23:00:00
3,102,151,Asset,-65235,1.376481,1.3718,{'SL': 1.3828},{'TP': 1.3688},305.376288,0.003401,2024-06-14 16:00:00,2024-06-18 17:00:00,,,4 days 01:00:00
4,152,165,Asset,65619,1.372739,1.37196,{'SL': 1.3652},{'TP': 1.3820000000000001},-51.093152,-0.000567,2024-06-18 18:00:00,2024-06-19 07:00:00,,,0 days 13:00:00
5,166,172,Asset,-65607,1.372171,1.37099,{'SL': 1.3746},{'TP': 1.3693},77.507323,0.000861,2024-06-19 08:00:00,2024-06-19 14:00:00,,,0 days 06:00:00
6,173,246,Asset,65727,1.370849,1.367,{'SL': 1.367},{'TP': 1.3755000000000002},-252.952923,-0.002807,2024-06-19 15:00:00,2024-06-24 16:00:00,,SL Hit,5 days 01:00:00
7,247,329,Asset,65776,1.366388,1.36996,{'SL': 1.3612},{'TP': 1.3727},234.931087,0.002614,2024-06-24 17:00:00,2024-06-28 03:00:00,,,3 days 10:00:00
8,330,346,Asset,-65663,1.371821,1.366,{'SL': 1.3766},{'TP': 1.366},382.250949,0.004244,2024-06-28 04:00:00,2024-06-28 20:00:00,,TP Hit,0 days 16:00:00
9,347,351,Asset,-66120,1.367522,1.36691,{'SL': 1.3788},{'TP': 1.3536000000000001},40.440347,0.000447,2024-06-28 21:00:00,2024-07-01 01:00:00,,,2 days 04:00:00
10,352,546,Asset,66159,1.367398,1.3599,{'SL': 1.3599},{'TP': 1.3767},-496.084429,-0.005484,2024-07-01 02:00:00,2024-07-11 15:00:00,,SL Hit,10 days 13:00:00
11,547,575,Asset,66159,1.360618,1.36224,{'SL': 1.3543},{'TP': 1.3685},107.308079,0.001192,2024-07-11 16:00:00,2024-07-12 20:00:00,,,1 days 04:00:00
12,576,618,Asset,-66122,1.362762,1.3696,{'SL': 1.3696000000000002},{'TP': 1.3544},-452.151592,-0.005018,2024-07-12 21:00:00,2024-07-16 15:00:00,,SL Hit,3 days 18:00:00
13,619,658,Asset,-65481,1.369852,1.3682,{'SL': 1.3766},{'TP': 1.3616000000000001},108.142133,0.001206,2024-07-16 16:00:00,2024-07-18 07:00:00,,,1 days 15:00:00
14,659,687,Asset,65644,1.368078,1.3719,{'SL': 1.3649},{'TP': 1.3719000000000001},250.865078,0.002793,2024-07-18 08:00:00,2024-07-19 12:00:00,,TP Hit,1 days 04:00:00
15,688,715,Asset,65623,1.371989,1.3756,{'SL': 1.3689},{'TP': 1.3756000000000002},236.991165,0.002632,2024-07-19 13:00:00,2024-07-22 16:00:00,,TP Hit,3 days 03:00:00
16,716,780,Asset,65548,1.376829,1.3825,{'SL': 1.3721},{'TP': 1.3825},371.733327,0.004119,2024-07-22 17:00:00,2024-07-25 09:00:00,,TP Hit,2 days 16:00:00
17,781,884,Asset,65506,1.382789,1.3791,{'SL': 1.3791},{'TP': 1.3872},-241.660543,-0.002668,2024-07-25 10:00:00,2024-07-31 17:00:00,,SL Hit,6 days 07:00:00
18,885,947,Asset,65412,1.381439,1.3914,{'SL': 1.3733},{'TP': 1.3914},651.564451,0.007211,2024-07-31 18:00:00,2024-08-05 08:00:00,,TP Hit,4 days 14:00:00
19,948,955,Asset,65347,1.39179,1.3819,{'SL': 1.3819000000000001},{'TP': 1.4040000000000001},-646.254776,-0.007106,2024-08-05 09:00:00,2024-08-05 16:00:00,,SL Hit,0 days 07:00:00
20,956,1154,Asset,65380,1.382889,1.37347,{'SL': 1.3687},{'TP': 1.3988},-615.823439,-0.006811,2024-08-05 17:00:00,2024-08-15 23:00:00,,,10 days 06:00:00
21,1155,1185,Asset,-65430,1.372551,1.36664,{'SL': 1.3789},{'TP': 1.3647},386.780874,0.004307,2024-08-16 00:00:00,2024-08-19 06:00:00,,,3 days 06:00:00
22,1186,1200,Asset,65977,1.366568,1.363,{'SL': 1.363},{'TP': 1.3709},-235.427379,-0.002611,2024-08-19 07:00:00,2024-08-19 21:00:00,,SL Hit,0 days 14:00:00
23,1201,1251,Asset,65973,1.363458,1.35935,{'SL': 1.3554000000000002},{'TP': 1.3733},-271.028266,-0.003013,2024-08-19 22:00:00,2024-08-22 00:00:00,,,2 days 02:00:00
24,1252,1292,Asset,-65991,1.359212,1.3512,{'SL': 1.3658000000000001},{'TP': 1.3512},528.722268,0.005895,2024-08-22 01:00:00,2024-08-23 17:00:00,,TP Hit,1 days 16:00:00
25,1293,1423,Asset,-66693,1.352062,1.34887,{'SL': 1.3604},{'TP': 1.3418},212.9103,0.002361,2024-08-23 18:00:00,2024-09-02 04:00:00,,,9 days 10:00:00
26,1424,1451,Asset,66972,1.349417,1.35267,{'SL': 1.3442},{'TP': 1.3558000000000001},217.828607,0.00241,2024-09-02 05:00:00,2024-09-03 08:00:00,,,1 days 03:00:00
27,1452,1512,Asset,-66953,1.352572,1.35098,{'SL': 1.3571},{'TP': 1.3471},106.613815,0.001177,2024-09-03 09:00:00,2024-09-05 21:00:00,,,2 days 12:00:00
28,1513,1534,Asset,67119,1.350838,1.3579,{'SL': 1.3451},{'TP': 1.3579},474.025353,0.005228,2024-09-05 22:00:00,2024-09-06 19:00:00,,TP Hit,0 days 21:00:00
29,1535,1825,Asset,67129,1.356978,1.3437,{'SL': 1.3437000000000001},{'TP': 1.3734000000000002},-891.328491,-0.009785,2024-09-06 20:00:00,2024-09-24 22:00:00,,SL Hit,18 days 02:00:00
