Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
1,51,53,Asset,-65468,1.374631,1.3702,{'SL': 1.3783},{'TP': 1.3702},290.106057,0.003224,2024-06-12 13:00:00,2024-06-12 15:00:00,,TP Hit,0 days 02:00:00
2,54,101,Asset,-65927,1.369032,1.3768,{'SL': 1.3768},{'TP': 1.3594000000000002},-512.150933,-0.005674,2024-06-12 16:00:00,2024-06-14 15:00:00,,SL Hit,1 days 23:00:00
3,102,151,Asset,-65235,1.376481,1.3718,{'SL': 1.3828},{'TP': 1.3688},305.376288,0.003401,2024-06-14 16:00:00,2024-06-18 17:00:00,,,4 days 01:00:00
4,152,248,Asset,65619,1.372739,1.3652,{'SL': 1.3652},{'TP': 1.3820000000000001},-494.677592,-0.005492,2024-06-18 18:00:00,2024-06-24 18:00:00,,SL Hit,6 days 00:00:00
5,249,329,Asset,65615,1.366038,1.36996,{'SL': 1.3602},{'TP': 1.3732},257.322444,0.002871,2024-06-24 19:00:00,2024-06-28 03:00:00,,,3 days 08:00:00
6,330,346,Asset,-65501,1.371821,1.366,{'SL': 1.3766},{'TP': 1.366},381.307882,0.004244,2024-06-28 04:00:00,2024-06-28 20:00:00,,TP Hit,0 days 16:00:00
7,347,351,Asset,-65957,1.367522,1.36691,{'SL': 1.3788},{'TP': 1.3536000000000001},40.340653,0.000447,2024-06-28 21:00:00,2024-07-01 01:00:00,,,2 days 04:00:00
8,352,546,Asset,65996,1.367398,1.3599,{'SL': 1.3599},{'TP': 1.3767},-494.862196,-0.005484,2024-07-01 02:00:00,2024-07-11 15:00:00,,SL Hit,10 days 13:00:00
9,547,599,Asset,65996,1.360618,1.3685,{'SL': 1.3543},{'TP': 1.3685},520.178657,0.005793,2024-07-11 16:00:00,2024-07-15 20:00:00,,TP Hit,4 days 04:00:00
10,600,746,Asset,65968,1.368358,1.3785,{'SL': 1.3601},{'TP': 1.3785},669.020112,0.007411,2024-07-15 21:00:00,2024-07-23 23:00:00,,TP Hit,8 days 02:00:00
11,747,784,Asset,65923,1.378349,1.3839,{'SL': 1.3739000000000001},{'TP': 1.3839000000000001},365.944242,0.004027,2024-07-24 00:00:00,2024-07-25 13:00:00,,TP Hit,1 days 13:00:00
12,785,947,Asset,65910,1.383609,1.3897,{'SL': 1.3787},{'TP': 1.3897000000000002},401.446144,0.004402,2024-07-25 14:00:00,2024-08-05 08:00:00,,TP Hit,10 days 18:00:00
13,948,955,Asset,65786,1.39179,1.3819,{'SL': 1.3819000000000001},{'TP': 1.4040000000000001},-650.596305,-0.007106,2024-08-05 09:00:00,2024-08-05 16:00:00,,SL Hit,0 days 07:00:00
14,956,1177,Asset,65819,1.382889,1.3687,{'SL': 1.3687},{'TP': 1.3988},-933.915071,-0.010261,2024-08-05 17:00:00,2024-08-16 22:00:00,,SL Hit,11 days 05:00:00
15,1178,1212,Asset,65869,1.368398,1.3627,{'SL': 1.3627},{'TP': 1.3754},-375.348996,-0.004164,2024-08-16 23:00:00,2024-08-20 09:00:00,,SL Hit,3 days 10:00:00
16,1213,1245,Asset,65895,1.362738,1.3587,{'SL': 1.3587},{'TP': 1.3676000000000001},-266.092807,-0.002963,2024-08-20 10:00:00,2024-08-21 18:00:00,,SL Hit,1 days 08:00:00
17,1246,1292,Asset,65930,1.358368,1.3522,{'SL': 1.3522},{'TP': 1.3659000000000001},-406.650636,-0.004541,2024-08-21 19:00:00,2024-08-23 17:00:00,,SL Hit,1 days 22:00:00
18,1293,1347,Asset,65959,1.352198,1.3439,{'SL': 1.3439},{'TP': 1.3624},-547.301827,-0.006136,2024-08-23 18:00:00,2024-08-28 00:00:00,,SL Hit,4 days 06:00:00
19,1348,1411,Asset,65984,1.344247,1.3503,{'SL': 1.3393000000000002},{'TP': 1.3503},399.387361,0.004503,2024-08-28 01:00:00,2024-08-30 16:00:00,,TP Hit,2 days 15:00:00
20,1412,1460,Asset,66043,1.348587,1.3562,{'SL': 1.3422},{'TP': 1.3562},502.757225,0.005645,2024-08-30 17:00:00,2024-09-03 17:00:00,,TP Hit,4 days 00:00:00
21,1461,1821,Asset,66049,1.355238,1.3465,{'SL': 1.3465},{'TP': 1.3659000000000001},-577.120211,-0.006447,2024-09-03 18:00:00,2024-09-24 18:00:00,,SL Hit,21 days 00:00:00
22,1822,1988,Asset,66060,1.347087,1.3546,{'SL': 1.341},{'TP': 1.3546},496.285593,0.005577,2024-09-24 19:00:00,2024-10-03 17:00:00,,TP Hit,8 days 22:00:00
23,1989,2059,Asset,66052,1.354038,1.3649,{'SL': 1.3453000000000002},{'TP': 1.3649},717.476739,0.008022,2024-10-03 18:00:00,2024-10-08 16:00:00,,TP Hit,4 days 22:00:00
24,2060,2078,Asset,65976,1.365378,1.3669,{'SL': 1.3599},{'TP': 1.3721},100.397955,0.001115,2024-10-08 17:00:00,2024-10-09 11:00:00,,,0 days 18:00:00
25,2079,2089,Asset,-65960,1.366952,1.3711,{'SL': 1.3711},{'TP': 1.362},-273.625232,-0.003035,2024-10-09 12:00:00,2024-10-09 22:00:00,,SL Hit,0 days 10:00:00
26,2090,2129,Asset,-65580,1.371091,1.3779,{'SL': 1.3779000000000001},{'TP': 1.3628},-446.505234,-0.004966,2024-10-09 23:00:00,2024-10-11 14:00:00,,SL Hit,1 days 15:00:00
27,2130,2151,Asset,-64993,1.377291,1.37864,{'SL': 1.3826},{'TP': 1.3708},-87.666978,-0.000979,2024-10-11 15:00:00,2024-10-14 12:00:00,,,2 days 21:00:00
28,2152,2208,Asset,64839,1.379509,1.3756,{'SL': 1.3756000000000002},{'TP': 1.3843},-253.453836,-0.002834,2024-10-14 13:00:00,2024-10-16 21:00:00,,SL Hit,2 days 08:00:00
