Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
1,51,53,Asset,-65468,1.374631,1.3702,{'SL': 1.3783},{'TP': 1.3702},290.106057,0.003224,2024-06-12 13:00:00,2024-06-12 15:00:00,,TP Hit,0 days 02:00:00
2,54,101,Asset,-65927,1.369032,1.3768,{'SL': 1.3768},{'TP': 1.3594000000000002},-512.150933,-0.005674,2024-06-12 16:00:00,2024-06-14 15:00:00,,SL Hit,1 days 23:00:00
3,102,200,Asset,-65235,1.376481,1.3688,{'SL': 1.3828},{'TP': 1.3688},501.081288,0.00558,2024-06-14 16:00:00,2024-06-20 18:00:00,,TP Hit,6 days 02:00:00
4,201,251,Asset,-65852,1.370431,1.36616,{'SL': 1.3768},{'TP': 1.3626},281.285172,0.003117,2024-06-20 19:00:00,2024-06-24 21:00:00,,,4 days 02:00:00
5,252,330,Asset,66294,1.365268,1.3734,{'SL': 1.3586},{'TP': 1.3734000000000002},539.085572,0.005956,2024-06-24 22:00:00,2024-06-28 04:00:00,,TP Hit,3 days 06:00:00
6,331,345,Asset,66285,1.372769,1.3675,{'SL': 1.3675000000000002},{'TP': 1.3792},-349.231471,-0.003838,2024-06-28 05:00:00,2024-06-28 19:00:00,,SL Hit,0 days 14:00:00
7,346,388,Asset,66306,1.367588,1.36778,{'SL': 1.3571},{'TP': 1.3805},12.705821,0.00014,2024-06-28 20:00:00,2024-07-03 01:00:00,,,4 days 05:00:00
8,389,394,Asset,-66332,1.367082,1.36772,{'SL': 1.3746},{'TP': 1.3578000000000001},-42.34353,-0.000467,2024-07-03 02:00:00,2024-07-03 07:00:00,,,0 days 05:00:00
9,395,403,Asset,66264,1.368038,1.3649,{'SL': 1.3649},{'TP': 1.3718000000000001},-207.962838,-0.002294,2024-07-03 08:00:00,2024-07-03 16:00:00,,SL Hit,0 days 08:00:00
10,404,451,Asset,66282,1.364348,1.36217,{'SL': 1.3595000000000002},{'TP': 1.3714000000000002},-144.37638,-0.001597,2024-07-03 17:00:00,2024-07-05 16:00:00,,,1 days 23:00:00
11,452,493,Asset,-66214,1.364182,1.36329,{'SL': 1.3706},{'TP': 1.3562},59.048818,0.000654,2024-07-05 17:00:00,2024-07-09 10:00:00,,,3 days 17:00:00
12,494,546,Asset,66266,1.364018,1.3603,{'SL': 1.3603},{'TP': 1.3685},-246.390076,-0.002726,2024-07-09 11:00:00,2024-07-11 15:00:00,,SL Hit,2 days 04:00:00
13,547,551,Asset,66266,1.360618,1.36313,{'SL': 1.3543},{'TP': 1.3685},166.45837,0.001846,2024-07-11 16:00:00,2024-07-11 20:00:00,,,0 days 04:00:00
14,552,689,Asset,-66197,1.364232,1.37166,{'SL': 1.3755000000000002},{'TP': 1.3503},-491.725548,-0.005445,2024-07-11 21:00:00,2024-07-19 14:00:00,,,7 days 17:00:00
15,690,715,Asset,65541,1.371239,1.3761,{'SL': 1.3672},{'TP': 1.3761},318.623737,0.003545,2024-07-19 15:00:00,2024-07-22 16:00:00,,TP Hit,3 days 01:00:00
16,716,780,Asset,65486,1.376829,1.3825,{'SL': 1.3721},{'TP': 1.3825},371.381715,0.004119,2024-07-22 17:00:00,2024-07-25 09:00:00,,TP Hit,2 days 16:00:00
17,781,851,Asset,65444,1.382789,1.38436,{'SL': 1.3791},{'TP': 1.3872},102.803624,0.001136,2024-07-25 10:00:00,2024-07-30 08:00:00,,,4 days 22:00:00
18,852,884,Asset,-65433,1.384291,1.3797,{'SL': 1.3880000000000001},{'TP': 1.3797000000000001},300.388639,0.003316,2024-07-30 09:00:00,2024-07-31 17:00:00,,TP Hit,1 days 08:00:00
19,885,890,Asset,-65770,1.381301,1.38076,{'SL': 1.3894},{'TP': 1.3713},35.577065,0.000392,2024-07-31 18:00:00,2024-07-31 23:00:00,,,0 days 05:00:00
20,891,917,Asset,65825,1.380729,1.38827,{'SL': 1.3716000000000002},{'TP': 1.3921000000000001},496.384153,0.005462,2024-08-01 00:00:00,2024-08-02 02:00:00,,,1 days 02:00:00
21,918,982,Asset,-65797,1.388021,1.378,{'SL': 1.3961000000000001},{'TP': 1.3780000000000001},659.325122,0.007219,2024-08-02 03:00:00,2024-08-06 19:00:00,,TP Hit,4 days 16:00:00
22,983,1031,Asset,-66716,1.377791,1.37407,{'SL': 1.3882},{'TP': 1.365},248.257375,0.002701,2024-08-06 20:00:00,2024-08-08 20:00:00,,,2 days 00:00:00
23,1032,1161,Asset,67095,1.373489,1.37223,{'SL': 1.3666},{'TP': 1.3819000000000001},-84.450531,-0.000916,2024-08-08 21:00:00,2024-08-16 06:00:00,,,7 days 09:00:00
24,1162,1177,Asset,-67074,1.372631,1.3686,{'SL': 1.3760000000000001},{'TP': 1.3686},270.399776,0.002937,2024-08-16 07:00:00,2024-08-16 22:00:00,,TP Hit,0 days 15:00:00
25,1178,1182,Asset,-67467,1.368262,1.36787,{'SL': 1.3739000000000001},{'TP': 1.3613},26.418964,0.000286,2024-08-16 23:00:00,2024-08-19 03:00:00,,,2 days 04:00:00
26,1183,1207,Asset,67539,1.367278,1.3629,{'SL': 1.3629},{'TP': 1.3726},-295.71009,-0.003202,2024-08-19 04:00:00,2024-08-20 04:00:00,,SL Hit,1 days 00:00:00
27,1208,1242,Asset,67550,1.363108,1.3598,{'SL': 1.3598000000000001},{'TP': 1.367},-223.465668,-0.002427,2024-08-20 05:00:00,2024-08-21 15:00:00,,SL Hit,1 days 10:00:00
28,1243,1251,Asset,67561,1.359898,1.35935,{'SL': 1.3557000000000001},{'TP': 1.365},-37.022854,-0.000403,2024-08-21 16:00:00,2024-08-22 00:00:00,,,0 days 08:00:00
